,TICKER,Patrimonio Liq,Ativos,Ativo Circulante,Divida Bruta,Disponbilidade,Divida Liq,Valor de Merc,Valor de Firma,Liquidez Media,Setor,Subsetor,Segmento
145,CEPE5,1.490.000.000,13.348.000.000,3.273.000.000,7.769.000.000,485.000.000,7.284.000.000,"<strong class=""value"">8.662.392.210</strong>",15.946.392.210,"<strong class=""value"">-</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
146,CEPE6,1.490.000.000,13.348.000.000,3.273.000.000,7.769.000.000,485.000.000,7.284.000.000,"<strong class=""value"">8.662.392.210</strong>",15.946.392.210,"<strong class=""value"">-</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
147,CESP3,8.108.670.000,15.016.113.000,3.289.614.000,2.313.316.000,2.995.274.000,-681.958.000,"<strong class=""value"">8.302.192.834</strong>",7.620.234.834,"<strong class=""value"">-</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
148,CESP5,8.108.670.000,15.016.113.000,3.289.614.000,2.313.316.000,2.995.274.000,-681.958.000,"<strong class=""value"">8.302.192.834</strong>",7.620.234.834,"<strong class=""value"">-</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
149,CESP6,8.108.670.000,15.016.113.000,3.289.614.000,2.313.316.000,2.995.274.000,-681.958.000,"<strong class=""value"">8.302.192.834</strong>",7.620.234.834,"<strong class=""value"">-</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
150,CGAS3,444.316.000,14.008.859.000,5.373.621.000,7.722.162.000,2.359.635.000,5.362.527.000,"<strong class=""value"">16.183.414.084</strong>",21.545.941.084,"<strong class=""value"">43.270,15</strong>",Utilidade Pública,Gás,Gás
151,CGAS5,444.316.000,14.008.859.000,5.373.621.000,7.722.162.000,2.359.635.000,5.362.527.000,"<strong class=""value"">16.183.414.084</strong>",21.545.941.084,"<strong class=""value"">119.200,78</strong>",Utilidade Pública,Gás,Gás
152,CGRA3,875.781.000,1.209.590.000,521.558.000,0,139.715.000,-139.715.000,"<strong class=""value"">520.382.875</strong>",380.667.875,"<strong class=""value"">88.705,81</strong>",Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados
153,CGRA4,875.781.000,1.209.590.000,521.558.000,0,139.715.000,-139.715.000,"<strong class=""value"">520.382.875</strong>",380.667.875,"<strong class=""value"">181.788,59</strong>",Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados
154,CIEL3,11.970.729.000,96.935.956.000,85.746.288.000,6.414.381.000,858.056.000,5.556.325.000,"<strong class=""value"">11.981.154.419</strong>",17.537.479.419,"<strong class=""value"">115.600.857,78</strong>",Financeiro e Outros,Serviços Financeiros Diversos,Serviços Financeiros Diversos
155,CLSA3,716.090.000,898.217.000,589.970.000,40.342.000,413.757.000,-373.415.000,"<strong class=""value"">689.688.640</strong>",316.273.640,"<strong class=""value"">2.540.737,41</strong>",Tecnologia da Informação,Programas e Serviços,Programas e Serviços
156,CLSC3,3.187.480.000,11.598.679.000,3.488.054.000,2.444.899.000,660.895.000,1.784.004.000,"<strong class=""value"">2.425.726.926</strong>",4.209.730.926,"<strong class=""value"">10.307,73</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
157,CLSC4,3.187.480.000,11.598.679.000,3.488.054.000,2.444.899.000,660.895.000,1.784.004.000,"<strong class=""value"">2.425.726.926</strong>",4.209.730.926,"<strong class=""value"">450.725,19</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
158,CMIG3,24.427.784.000,56.165.430.000,13.919.356.000,12.105.914.000,4.168.072.000,7.937.842.000,"<strong class=""value"">26.850.646.499</strong>",34.788.488.499,"<strong class=""value"">9.329.036,15</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
159,CMIG4,24.427.784.000,56.165.430.000,13.919.356.000,12.105.914.000,4.168.072.000,7.937.842.000,"<strong class=""value"">26.850.646.499</strong>",34.788.488.499,"<strong class=""value"">206.338.642,93</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
160,CMIN3,11.444.224.000,29.625.114.000,13.472.894.000,8.448.120.000,10.634.176.000,-2.186.056.000,"<strong class=""value"">38.452.225.254</strong>",36.266.169.254,"<strong class=""value"">74.182.518,74</strong>",Materiais Básicos,Mineração,Minerais Metálicos
161,CMSA3,50.577,51.013,48.618,0,48.618,-48.618,"<strong class=""value"">0</strong>",-48.618,"<strong class=""value"">-</strong>",Financeiro e Outros,Outros,Outros
162,CMSA4,50.577,51.013,48.618,0,48.618,-48.618,"<strong class=""value"">0</strong>",-48.618,"<strong class=""value"">-</strong>",Financeiro e Outros,Outros,Outros
163,CNSY3,-39.404.000,174.172.000,22.719.000,166.712.000,6.357.000,160.355.000,"<strong class=""value"">935.885.084</strong>",1.096.240.084,"<strong class=""value"">-</strong>",Consumo Cíclico,Mídia,Produção e Difusão de Filmes e Programas
